allGfishSid	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
id126	10	0	0	0	9	0	0	0	0	0	38	0	9	80	0	0	74	0	0	0	13	0	0	0	5	0	0	5	0	0	467	0	0	2854	3	23	31	2	3	0	0	3	172	0	0	4	0	0	5	10	263	0	0	5	168	0	1	5	77	0	0	3	8	0	0	0	1	15	0	512	0	10	0	0	0	22	0	32	50	0	0	2262	0	11	11	77	0	1738	9199	122	0	2013	0	2455	0	0	28	0	1	0	0	465	1	257	1	36	0
id127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	621	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0
id128	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	1	0	0	0	4	0	0	0	8	0	2699	0	3	0	0	0	188	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
id129	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	22	0	0	1	0	0	17	0	1	0	0	0	0	0	12	0	0	0	6	0	31	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	35	1	0	0	1449	0	0	0	0	0	0	7	1522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	27	0	0	0	16	0	0	0	0	0	0	0	15	0	0	0	0	112	0
id13	4	29	87	12	154	426	110	11	54	32	44	167	59	7	98	917	18	40	99	10	73	243	25	318	32	52	11	4	53	310	347	49	111	15	35	679	97	20	19	377	8	16	94	367	20	138	122	103	82	85	61	238	1581	64	6	7199	65	69	13	115	459	824	250	715	1027	761	423	203	483	33	591	614	136	5	1615	73	354	20	264	62	974	69	72	64	268	35	5285	127	1146	89	595	46	980	72	462	325	27	71	34	60	94	8	8	9	65	14	589
id130	24	593	155	0	0	670	407	0	16	2724	19	0	35	0	69	0	229	10126	459	0	54	5	159	9	14	1213	0	0	1	3342	5818	11	1	95	131	17	5	3943	2683	0	0	2274	0	3	1	2385	10	25	58	8985	0	0	0	5012	0	567	124	2646	19	13	1	6702	26	0	1	0	654	45	6647	191	0	0	6221	0	0	0	21621	4	0	0	12567	11	0	0	9342	13	0	0	0	21	0	0	14116	550	0	2	11	23889	0	0	537	1837	0	0	3174	175	0
id131	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	4	0	0	0	4	0	0	0	2682	0	0	0	23	0	0	0	9	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0
id132	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	2	0	0	4	0	0	0	1	0	0	0	289	0	0	0	1	0	0	0	4	0	0	0	220	0	0	0	6	0	0	0	2	0	0	0	0	0	0	177	0	0	0	7117	0	0	0	199	0	0	0	68	0	0	0	716	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	4	0	0
id133	4	1297	0	0	19	8259	0	0	3258	6462	0	0	0	57	6	0	0	50	100	0	0	0	32	0	0	84	0	0	0	135	2	0	0	3	2	25	0	4	0	0	0	451	150	0	9	9	0	0	0	187	220	0	0	296	143	0	0	8	48	0	0	2	0	0	0	0	0	0	333	52	0	0	7483	1	0	0	229	2046	71	0	64	7	0	0	1011	21	0	0	9578	69	0	0	1808	18	0	0	3	16	0	0	1	0	0	0	4	0	0
id134	0	0	0	0	0	0	0	0	0	31	0	0	1	0	0	0	10	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	6	0	0	0	0	0	4	1	0	0	0	8	21	5869	0	13	551	0	0	1853	24	56	0	0	13	2060	0	19	38	75	0	15	0	229	21	23	10	1333	0	0	0	0	0	0	0	6	0	1	0	2	0
