"","s.HK_Aug","s.HK_Feb","s.HK_May","s.HK_Nov","s.LT_Aug","s.LT_Feb","s.LT_May","s.LT_Nov","s.SK_Aug","s.SK_Feb","s.SK_May","s.SK_Nov","index","stat","p.value"
"id318",1,0,0,0,1,0,0,0,0,0,0,0,16,0.68808422006033,0.001
"id319",0,0,1,0,0,0,0,0,0,0,1,0,41,0.646363259170983,0.001
"id320",0,0,0,0,0,0,0,0,0,1,0,0,10,0.827088110494307,0.001
"id321",0,0,0,0,0,0,0,0,0,0,0,1,12,0.650215232068127,0.001
"id324",0,0,0,0,0,0,0,1,0,0,0,0,8,0.506931225233659,0.002
"id327",1,0,0,0,1,0,0,0,0,0,0,1,112,0.668468930818126,0.001
"id328",0,0,0,0,0,0,0,0,0,1,0,0,10,0.586446043649282,0.001
"id329",0,0,0,0,0,0,0,1,0,0,0,0,8,0.346665462461957,0.027
"id33",0,0,0,0,0,0,0,0,1,0,0,0,9,0.6750500689663,0.001
"id330",0,0,0,0,0,1,0,0,0,1,0,0,61,0.478980996435818,0.002
"id331",0,1,1,0,0,0,0,1,0,1,0,1,1202,0.441590245981933,0.007
"id332",0,0,0,0,1,0,0,0,0,0,0,0,5,0.520262326202571,0.001
"id333",0,0,0,1,0,0,0,1,0,0,0,1,236,0.834433617005669,0.001
"id334",0,0,0,0,0,0,0,0,1,0,0,0,9,0.520923724216618,0.001
"id335",0,0,0,1,0,0,0,1,0,0,0,1,236,0.828037929889561,0.001
"id337",1,0,0,0,1,0,0,0,0,0,0,0,16,0.590819949330681,0.001
"id338",0,0,0,1,0,0,0,1,0,0,0,0,46,0.70375519261991,0.001
"id339",0,0,0,0,0,0,0,0,0,0,0,1,12,0.587607769902501,0.001
"id34",0,0,0,0,0,0,0,0,0,0,1,0,11,0.640630292033282,0.001
"id340",0,0,0,0,1,0,0,0,0,0,0,0,5,0.630626632636049,0.001
"id341",0,0,0,0,0,0,0,0,1,0,0,0,9,0.496783098902578,0.005
"id342",0,0,0,0,1,0,0,0,0,0,0,0,5,0.533566271260181,0.002
"id343",1,0,0,0,1,0,1,0,1,0,0,0,415,0.665454350222035,0.001
"id344",0,0,0,0,0,0,0,0,1,0,0,0,9,0.623332651264846,0.001
"id346",0,0,0,0,0,0,0,0,0,0,0,1,12,0.574892534409887,0.001
"id347",0,1,0,0,0,0,0,0,0,0,0,0,2,0.823914570026337,0.001
"id348",0,0,0,0,0,0,0,1,0,1,0,1,293,0.467919694456692,0.003
