Cat_arco_metazoa_filt_luluotu	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
arco_Zotu240	3	10	0	1	10	0	0	4	7	0	0	0	0	0	0	143	0	4	0	0	27	2098	0	0	0	0	7	0	4	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	14	0	0	0	12	0	0	0	20	0	0	0	0	0	4	21	6	0	0	0	0	5	2	0	0	4	0	13	0	0	0	206	0	191	0	841	0	105	0	3	0	129	0	41	0	2	36	0	0	2	81	0	0	207	1	4	0	0	0	0	0	2	2
arco_Zotu300	0	19	3	0	0	5	9	3	1	5	0	2	4	1	33	4	11	7	21	8	0	1	2	0	8	3	7	0	21	11	0	0	6	2	4	38	17	4	2	1	0	5	1	1	4	34	0	2	0	32	4	4	8	2	0	0	50	2	4	0	171	9	0	82	92	0	196	142	101	8	76	165	83	1	119	97	64	12	79	107	130	1	15	51	44	30	355	102	310	22	211	39	268	19	398	51	1	9	54	44	4	6	13	9	0	14	53
arco_Zotu218	20	0	0	0	24	0	0	0	462	0	0	0	26	0	0	48	13	0	0	0	7	0	0	0	58	0	0	0	0	0	0	0	2	0	0	43	1	0	82	0	1	0	3	0	0	0	0	1	0	0	7	0	43	0	0	0	528	0	2	0	20	0	4	0	10	59	112	17	0	121	0	50	0	3	2	60	0	15	0	68	0	2	0	50	0	1	0	1993	0	2	1	16	0	1	0	29	0	112	69	16	0	100	0	0	0	17	2
arco_Zotu210	1	5	0	0	0	0	86	0	1	0	21	0	0	0	104	0	0	0	2	0	0	0	4	0	95	0	0	0	1	0	5	0	1	5	516	0	2	2	2407	0	0	3	32	0	1	30	51	0	1	6	16	0	0	14	4	0	51	7	32	0	0	271	30	0	0	25	0	0	0	317	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	10	4	0	0	0	1	0	0	0	0	0	0	1	167	0	0	0	0	0
arco_Zotu254	1	48	1	11	8	0	13	0	0	1	0	3	20	0	0	2	16	0	0	25	0	0	0	0	48	2	1	0	6	8	0	0	11	3	1	32	8	0	12	16	0	1	0	3	0	0	2	6	4	2	0	0	0	0	0	0	321	3	0	0	24	14	2	46	43	0	268	50	8	60	1033	50	12	1	76	228	15	1	43	31	130	13	17	15	6	3	72	76	14	10	203	292	19	18	54	49	0	2	127	33	0	60	305	172	0	2	29
arco_Zotu367	4	4	1	3	2	1	0	3	3	0	0	2	2	0	1	8	10	0	1	0	0	0	0	8	3	0	2	0	8	2	0	0	10	4	2	38	11	0	0	2	1	4	4	2	3	12	2	12	0	11	5	8	0	2	0	1	64	1	0	0	129	4	0	126	80	0	391	111	26	6	225	94	19	2	264	65	14	5	143	133	42	4	16	25	20	21	676	78	97	13	393	20	79	13	561	41	0	1	55	30	1	3	24	3	0	2	81
arco_Zotu213	10	8	0	12	13	0	24	4	27	0	0	19	8	0	2	44	49	0	0	8	7	0	0	1698	15	0	0	63	3	0	0	0	4	0	0	26	2	0	4	8	0	1	2	8	10	5	0	0	0	0	1	0	6	2	1	0	5	0	1	1	48	77	7	3	1	5	99	14	0	23	5	36	1	3	10	14	0	48	608	0	21	24	6	0	0	24	168	3	0	9	3	0	0	88	2	0	0	322	24	13	0	166	0	309	0	38	137
arco_Zotu377	0	46	2	15	1	24	7	9	2	2	0	5	11	0	45	4	26	5	22	1	0	0	1	3	21	0	18	0	25	1	0	0	19	4	10	74	34	3	2	1	0	2	5	0	6	49	1	4	0	28	4	8	10	2	0	0	46	3	0	1	130	4	0	121	118	0	290	153	64	17	41	72	51	1	57	83	20	6	62	161	54	2	18	33	19	35	355	114	481	36	283	22	259	43	498	11	0	6	65	22	4	10	12	0	4	19	75
arco_Zotu193	0	10	0	21	3	1	0	0	0	0	0	0	0	0	0	116	0	4	0	170	0	4	0	0	0	0	13	0	0	0	0	0	0	0	0	558	0	0	0	3390	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0
arco_Zotu198	60	237	168	0	2	694	2	0	1	117	3	0	16	128	21	0	10	34	62	0	6	42	8	0	1	225	0	0	1	39	0	0	2	6	5	0	0	2	0	0	0	6	0	0	24	26	0	0	1	81	0	0	0	12	0	0	0	166	2	0	0	1	0	0	2	0	0	0	71	0	0	0	182	0	0	0	1518	0	0	0	64	0	0	0	81	0	0	0	131	0	0	0	204	0	0	0	10	0	0	0	1	2	0	0	5	8	0
