Sample	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
ITS_Zotu218	0	0	0	0	0	1	0	0	0	1	0	0	0	3	2	0	0	9	1	0	0	0	0	0	0	5	10	0	0	0	9	0	0	4	25	16	0	31	5	0	0	15	5	0	0	8	0	0	0	0	2	0	0	2	0	1	0	5	0	0	7	79	0	0	0	3	0	0	234	0	0	0	0	0	0	0	10	0	0	0	13	0	0	0	12	4	0	0	21	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu219	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	0	5	0	0	0	2	0	3	13	0	10	0	0	0	9	1	1	1	2	0	2	9	0	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	47	0	0	3	0	6	1	3	29	0	0	5	6	0	0	4	5	0	0	3	35	1	0	101	4	1	0	9	2	0	0	8	5	18	0	0	1	0	0	0	1	0	0	15
ITS_Zotu22	305	8	1127	110	217	1	597	59	410	96	24	153	150	10	435	168	117	170	219	382	49	21	486	464	42	5	84	224	26	10	9	6	0	32	148	25	3	60	33	52	1	15	109	7	12	77	18	4	2	26	51	42	5	40	4	57	3	593	22	39	80	22	14	146	3	3	41	1	1063	462	176	218	69	70	162	456	325	50	211	95	95	76	415	227	311	580	25	135	39	61	54	422	37	50	15	497	455	237	165	754	2353	763	466	919	675	894	421
ITS_Zotu220	1	6	7	7	0	7	5	3	1	2	2	2	2	2	45	11	4	2	2	4	0	4	1	5	0	0	4	0	1	2	1	0	2	1	0	3	3	3	2	3	0	3	0	0	5	15	1	0	1	24	6	3	0	4	0	2	2	1	0	0	89	1	2	136	108	4	165	45	32	1	98	69	14	5	127	60	19	2	65	95	26	1	9	29	33	12	92	59	422	31	154	25	97	20	169	56	2	4	10	15	1	1	7	2	0	4	16
ITS_Zotu221	0	0	0	0	0	2	0	0	0	0	14	3	0	0	0	1	0	2	20	0	30	1	0	7	0	0	0	0	0	0	0	0	0	1	0	0	0	41	0	0	0	20	16	0	0	44	0	0	2	16	2	0	2	13	0	0	0	10	1	0	3	574	40	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ITS_Zotu223	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	112	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS_Zotu23	192	0	0	110	280	0	0	69	35	0	42	146	4	0	80	9	11	0	60	7	16	14	0	46	26	0	2	25	1	0	80	12	0	1	0	128	0	0	44	17	0	0	102	3	7	8	580	12	4	0	16	31	7	0	5	11	4	0	80	11	28	7	32	36	1	6	4	9	0	89	0	1099	0	19	7	2546	0	180	2	1400	0	262	25	662	0	40	7	66	0	37	29	35	0	30	10	438	0	135	5	292	0	200	4	441	1	67	18
ITS_Zotu230	0	0	0	0	2	0	0	0	0	1	1	0	1	0	1	13	7	0	0	0	28	0	0	8	17	0	0	0	3	0	4	0	0	1	24	0	0	0	13	23	0	0	3	0	32	1	5	0	0	0	7	0	1	0	0	3	23	0	0	0	160	0	18	0	7	2	0	4	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	3	0	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ITS_Zotu231	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	40	0	4	0	2	18	1	1	3	6	4	0	0	5	1	0	0	0	7	3	25	79	9	1	2	10	128	0	0	4	0	0	4	5	0	0	0	0	0	0	2
ITS_Zotu232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
