NoCorrection	HKBea1Aug	HKBea1Feb	HKBea1May	HKBea1Nov	HKBea2Aug	HKBea2Feb	HKBea2May	HKBea2Nov	HKBea3Aug	HKBea3Feb	HKBea3May	HKBea3Nov	HKSta1Aug	HKSta1Feb	HKSta1May	HKSta1Nov	HKSta2Aug	HKSta2Feb	HKSta2May	HKSta2Nov	HKSta3Aug	HKSta3Feb	HKSta3May	HKSta3Nov	HKSW1Aug	HKSW1Feb	HKSW1May	HKSW1Nov	HKSW2Aug	HKSW2Feb	HKSW2May	HKSW2Nov	HKSW3Aug	HKSW3Feb	HKSW3May	HKSW3Nov	LTCC1Aug	LTCC1Feb	LTCC1May	LTCC1Nov	LTCC2Aug	LTCC2Feb	LTCC2May	LTCC2Nov	LTCC3Aug	LTCC3Feb	LTCC3May	LTCC3Nov	LTCMW1Aug	LTCMW1Feb	LTCMW1May	LTCMW1Nov	LTCMW2Aug	LTCMW2Feb	LTCMW2May	LTCMW2Nov	LTCMW3Aug	LTCMW3Feb	LTCMW3May	LTCMW3Nov	LTPC1Aug	LTPC1Feb	LTPC1May	LTPC1Nov	LTPC2Aug	LTPC2May	LTPC2Nov	LTPC3Aug	LTPC3Feb	LTPC3May	LTPC3Nov	SKBlu1Aug	SKBlu1Feb	SKBlu1May	SKBlu1Nov	SKBlu2Aug	SKBlu2Feb	SKBlu2May	SKBlu2Nov	SKBlu3Aug	SKBlu3Feb	SKBlu3May	SKBlu3Nov	SKLKW1Aug	SKLKW1Feb	SKLKW1May	SKLKW1Nov	SKLKW2Aug	SKLKW2Feb	SKLKW2May	SKLKW2Nov	SKLKW3Aug	SKLKW3Feb	SKLKW3May	SKLKW3Nov	SKSha1Aug	SKSha1Feb	SKSha1May	SKSha1Nov	SKSha2Aug	SKSha2Feb	SKSha2May	SKSha2Nov	SKSha3Aug	SKSha3Feb	SKSha3May	SKSha3Nov
protist_Zotu132	119	14	7	17	132	12	120	27	89	7	142	30	63	13	16	9	48	4	16	141	68	95	6	11	89	8	73	21	72	12	47	0	71	21	36	5	120	9	44	46	192	19	73	2	78	15	69	16	179	0	40	85	180	52	29	73	264	21	33	26	78	9	41	26	117	34	95	241	0	31	82	79	0	3	166	87	3	86	171	129	4	42	243	54	6	13	121	85	1	26	113	1	1	25	72	15	2	28	12	23	1	41	27	23	5	51	19
protist_Zotu54	179	41	77	145	120	37	215	188	151	13	307	154	128	22	43	47	143	4	59	113	80	39	33	48	161	10	141	115	41	36	261	0	13	107	157	30	322	23	120	146	510	44	213	26	256	58	156	28	87	0	243	308	115	221	110	480	495	37	154	9	335	89	333	198	231	143	220	369	38	540	1	461	30	41	1201	282	48	91	1225	380	101	77	1084	141	39	83	940	150	34	125	691	9	35	153	351	169	16	60	274	80	18	81	634	150	8	95	775
protist_Zotu106	15	74	1	16	17	133	23	35	19	18	8	69	29	11	22	15	45	5	8	79	13	55	28	11	36	12	27	42	4	9	13	0	2	16	10	21	23	5	23	94	16	17	12	13	29	5	2	39	4	0	7	285	6	7	13	165	119	89	21	7	40	15	5	175	16	6	97	28	231	34	9	87	14	6	98	48	53	0	91	88	34	20	71	12	109	37	183	50	255	107	149	0	261	65	113	23	25	23	82	31	26	21	155	40	8	29	276
protist_Zotu334	10	55	0	3	11	83	26	5	9	8	18	19	33	5	25	3	19	7	26	20	11	35	25	6	19	8	11	17	2	9	16	0	1	11	10	2	30	4	20	18	41	8	11	1	32	6	5	8	3	0	14	157	2	8	10	51	156	69	19	0	50	22	17	24	21	3	21	33	43	11	0	94	14	0	59	42	30	2	23	66	16	3	37	21	20	12	40	79	38	12	45	0	65	11	66	15	19	17	15	28	32	19	49	11	10	25	71
protist_Zotu551	3	0	0	0	14	0	0	0	11	0	0	0	0	0	0	0	9	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	117	0	1	0	74	0	0	0	27	0	0	0	42	0	0	0	43	0	1	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	4	0	28	0	144	0	0	0
protist_Zotu109	25	55	15	121	56	55	56	363	42	71	96	64	24	37	92	10	16	41	69	32	71	66	36	201	33	71	15	50	51	57	63	0	23	83	51	24	22	32	41	49	33	38	93	50	24	73	33	21	44	352	64	35	59	58	45	29	56	101	35	0	28	284	54	16	26	26	64	24	68	32	1	59	21	52	55	50	50	30	52	37	34	18	41	34	48	17	53	15	31	19	50	20	21	34	47	40	28	30	14	27	30	8	55	93	38	17	119
protist_Zotu18	522	52	498	582	449	5	646	209	338	18	588	524	1331	11	299	139	1040	18	313	275	267	44	151	267	493	23	887	266	513	43	1079	0	358	362	1437	193	332	189	436	230	467	186	519	87	272	192	429	169	657	6	360	397	563	540	677	669	485	75	446	657	367	75	451	585	210	427	488	291	14	376	18	386	14	514	739	321	42	681	920	287	69	693	657	156	10	520	732	160	10	496	659	220	2	508	388	373	20	1710	439	300	5	1935	585	550	37	1601	1162
protist_Zotu190	28	35	97	25	19	39	15	11	24	22	42	29	88	19	50	4	54	23	40	9	29	43	24	2	16	21	22	38	24	23	23	0	1	20	36	29	17	4	19	78	13	18	36	0	9	21	23	41	23	8	8	18	37	24	30	21	26	48	20	0	32	69	33	62	17	22	25	15	52	13	2	61	33	35	119	16	106	45	63	21	80	35	54	11	59	45	23	11	77	14	30	1	43	20	31	13	24	89	26	10	11	62	54	10	13	90	22
protist_Zotu226	69	39	111	69	63	25	57	58	42	25	97	70	37	17	75	16	31	18	71	37	36	6	34	2	68	19	30	32	33	27	21	0	28	17	20	18	21	2	16	69	53	10	34	6	15	17	22	37	57	1	20	15	48	28	22	21	34	51	21	0	19	7	41	28	18	1	13	32	16	51	3	36	28	69	25	35	57	42	23	43	64	37	48	30	5	24	49	9	9	27	19	14	8	19	9	16	18	19	30	19	17	41	28	18	16	29	5
protist_Zotu264	4	42	0	2	0	73	2	1	2	46	6	2	2	59	71	2	6	3	52	3	1	3	42	0	3	1	1	2	0	5	22	0	5	2	7	0	4	0	5	0	1	1	6	0	0	5	6	0	1	1	2	3	4	1	4	1	1	48	2	0	0	0	5	3	0	2	4	0	9	3	0	5	47	22	0	14	74	1	1	8	53	7	8	1	7	17	2	7	17	5	0	5	14	4	1	5	73	4	0	12	65	1	0	18	136	2	0
