Sample	allGfishSid
HKSta2Aug	id253
HKSta2Aug	id254
HKSta2Aug	id255
HKSta2Aug	id258
HKSta2Aug	id259
HKSta2Aug	id260
HKSta2Aug	id266
HKSta2Aug	id268
HKSta2Aug	id269
HKSta2Aug	id27
HKSta2Aug	id271
HKSta2Aug	id272
HKSta2Aug	id274
HKSta2Aug	id276
HKSta2Aug	id277
HKSta2Aug	id278
HKSta2Aug	id279
HKSta2Aug	id28
HKSta2Aug	id281
HKSta2Aug	id282
HKSta2Aug	id283
HKSta2Aug	id284
HKSta2Aug	id285
HKSta2Aug	id287
HKSta2Aug	id288
HKSta2Aug	id289
HKSta2Aug	id29
HKSta2Aug	id290
HKSta2Aug	id291
HKSta2Aug	id293
HKSta2Aug	id294
HKSta2Aug	id297
HKSta2Aug	id298
HKSta2Aug	id299
HKSta2Aug	id302
HKSta2Aug	id303
HKSta2Aug	id304
HKSta2Aug	id305
HKSta2Aug	id306
HKSta2Aug	id307
HKSta2Aug	id309
HKSta2Aug	id31
HKSta2Aug	id310
HKSta2Aug	id312
HKSta2Aug	id313
HKSta2Aug	id314
HKSta2Aug	id318
HKSta2Aug	id319
HKSta2Aug	id32
HKSta2Aug	id320
HKSta2Aug	id321
HKSta2Aug	id322
HKSta2Aug	id323
HKSta2Aug	id325
HKSta2Aug	id327
HKSta2Aug	id328
HKSta2Aug	id33
HKSta2Aug	id331
HKSta2Aug	id333
HKSta2Aug	id335
HKSta2Aug	id336
HKSta2Aug	id337
HKSta2Aug	id338
HKSta2Aug	id339
HKSta2Aug	id34
HKSta2Aug	id340
HKSta2Aug	id341
HKSta2Aug	id342
HKSta2Aug	id343
HKSta2Aug	id345
HKSta2Aug	id347
HKSta2Aug	id348
HKSta2Aug	id349
HKSta2Aug	id350
HKSta2Aug	id351
HKSta2Aug	id352
HKSta2Aug	id354
HKSta2Aug	id355
HKSta2Aug	id357
HKSta2Aug	id358
HKSta2Aug	id359
HKSta2Aug	id36
HKSta2Aug	id360
HKSta2Aug	id361
HKSta2Aug	id362
HKSta2Aug	id363
HKSta2Aug	id364
HKSta2Aug	id365
HKSta2Aug	id367
HKSta2Aug	id368
HKSta2Aug	id369
HKSta2Aug	id37
HKSta2Aug	id370
HKSta2Aug	id372
HKSta2Aug	id373
HKSta2Aug	id374
HKSta2Aug	id375
HKSta2Aug	id376
HKSta2Aug	id377
HKSta2Aug	id378
HKSta2Aug	id379
HKSta2Aug	id38
HKSta2Aug	id380
HKSta2Aug	id381
HKSta2Aug	id382
HKSta2Aug	id383
HKSta2Aug	id384
HKSta2Aug	id385
