Network	Connectance	Average_Degree	Average_Path_Length	Diameter	Edge_Connectivity	Clustering_Coefficient	Number_of_Clusters	Betweenness_Centralization	Degree_Centralization
LT_Nov_LTCC2Nov	0.0347495410437975	4.2741935483871	4.69691374192002	15.8554	0	0.504835589941973	8	0.183948290866159	0.0953317597692106
LT_Nov_LTCC3Nov	0.0336314847942755	4.33846153846154	4.13128937031787	10.39	0	0.449722393584207	7	0.113844649479224	0.0903995229576625
LT_Nov_LTCMW1Nov	0.0309677419354839	3.84	4.37252285599518	10.3987	0	0.413290113452188	10	0.131542039090832	0.0980645161290323
LT_Nov_LTCMW2Nov	0.0308884913536076	3.98461538461538	3.88575547629039	9.8058	0	0.47380410022779	9	0.159352942307159	0.0776386404293381
LT_Nov_LTCMW3Nov	0.036071273359409	4.22033898305085	4.71346149477512	13.6532	0	0.457446808510638	8	0.237910474566104	0.0921338548457192
LT_Nov_LTPC1Nov	0.031021897810219	4.21897810218978	3.58037427569662	9.7707	0	0.422247446083995	11	0.102151710129373	0.093978102189781
LT_Nov_LTPC2Nov	0.0360860513532269	4.72727272727273	3.58498763087844	9.7707	0	0.449701195219123	4	0.107786752300261	0.0936849410131853
LT_Nov_LTPC3Nov	0.0361094933022714	3.64705882352941	3.51030878958272	8.8568	0	0.395856052344602	9	0.159779063812104	0.102504368083867
SK_Aug_SKBlu1Aug	0.0518462859596393	7.05109489051095	2.80483184625943	7.6906	0	0.470569052665906	6	0.083285207118435	0.146683125805067
SK_Aug_SKBlu2Aug	0.0509852987175477	7.03597122302158	3.0470770989596	9.4745	0	0.469814995131451	5	0.0899698432865852	0.144666875195496
SK_Aug_SKBlu3Aug	0.0571428571428571	6.8	2.72178748307217	7.7209	0	0.48367714800721	9	0.10414217640787	0.14453781512605
SK_Aug_SKLKW1Aug	0.0515180366021369	7.05797101449275	2.71398894565063	7.1674	0	0.471636952998379	8	0.08081572536792	0.145562255368666
SK_Aug_SKLKW2Aug	0.0476506357103372	6.38518518518519	2.8701182798751	7.8637	0	0.452506875396658	6	0.0991357329907014	0.131453841901603
SK_Aug_SKLKW3Aug	0.0507796881247501	6.19512195121951	2.79427423151237	7.1674	0	0.457498096929713	7	0.0962883112428059	0.14594162335066
SK_Aug_SKSha1Aug	0.0531734496124031	6.8062015503876	2.68625035971223	6.9163	0	0.487756571840115	10	0.094157787101834	0.142139050387597
SK_Aug_SKSha2Aug	0.0605042016806723	7.2	2.61841596734384	6.3006	0	0.490016189962223	9	0.112463278587118	0.149579831932773
SK_Aug_SKSha3Aug	0.0591036414565826	7.03333333333333	2.84030475285171	8.5361	0	0.485542825968358	8	0.110261053573972	0.150980392156863
SK_Feb_SKBlu2Feb	0.0977389516957862	13.5857142857143	2.71260778637945	9.4163	0	0.624110355857657	5	0.0897936131719137	0.233196300102775
SK_Feb_SKBlu3Feb	0.107902253252936	14.7826086956522	2.51972782082323	7.3007	0	0.621471508419165	6	0.0831492047992771	0.249761980323707
SK_Feb_SKLKW1Feb	0.115178188063547	15.6642335766423	2.42958976045092	7.0208	0	0.608185618458148	6	0.0572401604691126	0.259821811936453
SK_Feb_SKLKW2Feb	0.111034004163775	14.5454545454545	2.65851900639317	8.7212	0	0.627702702702703	6	0.141209067414704	0.255378209576683
SK_Feb_SKLKW3Feb	0.114360704911886	14.4094488188976	2.38513926501982	6.5223	0	0.631238296833021	10	0.0523314536758481	0.250718660167479
SK_Feb_SKSha1Feb	0.112624779800352	14.6412213740458	2.44769599339116	7.9385	0	0.587744060221124	8	0.0869264591911579	0.256605989430417
