#OTU ID	HKBea1Nov	HKBea2Nov	HKBea3Nov	HKSW1Nov	HKSW2Nov	HKSW3Nov	HKSta1Nov	HKSta2Nov	HKSta3Nov
id296	0.754716981	15.8490566	10.56603774	12.45283019	0	3.018867925	7.169811321	6.037735849	3.773584906
id297	3.396226415	7.547169811	9.056603774	5.660377358	0	8.679245283	0	6.41509434	3.396226415
id298	443.7142857	364.047619	765.6666667	193.3809524	31	188.8571429	92.95238095	269.8095238	229.952381
id299	518.0555556	1198.944444	1121.361111	341.6666667	103.4722222	605.0000001	611.1111112	388.1111111	290.9722222
id3	0	0	0	0	1	0	0	0	0
id30	470	0	0	0	0	1	3	0	0
id300	0	0.666666667	0	0	0	0	90.66666667	0	0
id301	0	6	10	5.333333333	0	4.666666667	0.666666667	9.333333333	1.333333333
id302	0	0	0.833333333	0	0	0	0	1	0
id303	16.16666667	75.83333334	85.66666666	14.66666667	55.83333333	40.5	29.16666666	32.5	16
id304	10	0	0	0	0	10.5	0	5	5.5
id305	0	0	0	0	0	0	0	0	0.5
id306	56.8	12.8	29.6	3.2	30.4	8	24.8	13.6	22.4
id307	22.22222222	37.4074074	50.37037037	12.22222222	0	31.48148148	22.22222222	34.81481481	14.07407407
id308	15.83333333	3.333333333	35.83333334	36.66666667	0	18.33333333	0	30.83333334	20.83333333
id309	0	0	0	0	0	0	0	0	0
id31	30	12	357	4	0	134	52	716	86
id310	0	0	0	0	0	0	0	0	0.977198697
id311	0	0	0	0	0	0	0	0	0
id312	0	0	0	0	0	0	0	0	0
id313	8.333333333	1.666666667	11.66666667	108.3333333	0	31.66666667	1.666666667	26.66666667	3.333333333
id314	0	0	0	0	0	0	0	0	0
id315	0	0	0	0	0	1.666666667	6.666666667	1.666666667	138.3333333
id316	0	0	1.666666667	0	0	0	3.333333333	11.66666667	0
id317	0	0	0	15	0	11.66666667	0	1.666666667	0
id318	0	0	1.666666667	0	0	0	0	5	0
id319	0	15.71428571	11.42857143	21.42857143	0	30	8.571428571	0	2.857142857
id32	969	0	5	0	0	83	122	146	148
id320	311.4285714	3342.857143	1960	1277.142857	0	3845.714286	808.5714285	397.1428571	617.1428571
id321	660	710	802.8571429	2814.285714	185.7142857	3598.571428	1785.714286	1498.571429	1377.142857
