#OTU ID	LTCC1Nov	LTCC2Nov	LTCC3Nov	LTCMW1Nov	LTCMW2Nov	LTCMW3Nov	LTPC1Nov	LTPC2Nov	LTPC3Nov
id278	13.17482823	15.31028466	22.03075581	2.264150943	3.018867925	5.283018868	13.12684044	10.03599084	23.24353801
id279	58.49056604	32.83018868	50.56603774	37.35849057	30.18867925	41.88679245	30.18867925	27.16981132	66.79245283
id28	0	0	0	0	0	0	403	749	1
id280	17.5	12.1875	17.8125	2.8125	5.625	5.3125	5.625	3.125	34.0625
id281	2	0	1.5	2	7	6.5	2	2.5	16
id282	14	20.5	20	37.5	0	31	17.5	10	5
id283	179	159	234.5	393	227.5	435	87	92.5	49
id284	2.641509434	0.377358491	1.132075472	3.018867924	5.283018868	2.264150943	1.886792453	1.886792453	1.886792453
id285	12.45283019	12.83018868	13.20754717	8.301886793	11.32075472	22.64150943	7.547169811	7.169811321	3.018867925
id286	2.931596092	4.397394137	0	0	5.863192182	2.605863192	7.491856677	0.977198697	32.08469056
id287	85.96830835	81.58458244	111.1349036	22.6980728	24.62526767	25.05353319	37.68736617	26.124197	30.62098501
id288	0.178571429	0.357142857	0	1.071428571	0	0.714285714	0	0.178571429	2.5
id289	16.60377358	12.0754717	12.83018868	15.09433962	15.47169811	15.47169811	4.905660377	7.547169811	2.264150943
id29	1455	0	0	130	38	5	12	0	0
id290	14.71698113	13.20754717	9.811320755	13.96226415	8.679245283	31.69811321	10.94339623	2.264150943	0
id291	69	45.5	77	41.5	45.5	57.5	27	28	29
id292	0	0.617283951	0	0	0	0	1.234567901	0	0
id293	66.03773584	80.75471697	80.75471698	137.3584906	122.264151	128.6792453	71.69811321	53.20754717	90.56603774
id294	21.88679245	14.33962264	27.9245283	23.77358491	23.01886792	21.50943396	35.47169811	33.20754717	30.94339623
id295	4	0	16	1	0	23	8	6.89017341	0
id296	3.396226415	4.150943396	9.056603774	4.905660378	1.886792453	2.264150943	3.018867925	1.132075472	3.018867925
id297	10.56603774	8.679245283	12.83018868	7.547169811	10.94339623	9.056603774	4.150943396	11.32075472	1.132075472
id298	278.952381	272.9047619	304	100	103	122	294	162.4761905	410
id299	1314.5	1166.888889	1070.444445	1218.416667	785.5555556	895.1388888	304.1666667	355.1666666	295.1388889
id3	14	0	0	0	0	0	9	0	0
id30	0	0	0	0	0	0	0	0	0
id300	0	0	0	0	0	0	0	0	0
id301	0	0	0	7.333333333	2.666666667	2	1.333333333	0	0
id302	0	0	0	0.666666667	0	1.333333333	1.5	0.166666667	0.166666667
id303	43.83333334	23.83333333	50.33333333	15	15.33333333	2.666666667	22.16666667	10	3.333333333
id304	6.5	5	6	0	0	0	16.5	9	1
id305	0	0	0	0	0	0	0	0	0
id306	15.2	8.8	12.8	38.4	20.8	36	12.8	4	0
id307	27.77777778	31.85185185	32.59259259	21.48148148	27.77777778	23.70370371	12.22222222	15.18518519	8.148148148
id308	0.833333333	1.666666667	2.5	3.333333333	1.666666667	5.833333333	3.333333333	5.833333334	0.833333333
id309	0	0	0	0	0	0	0	0.344827586	0
id31	87	0	0	187	68	3	74	1	104
id310	0	0	0	0	0	0	0	0	0
id311	0	0	0	0	0	0	0	0	2458.333333
id312	0	0	0	0	0	0	0	0	0
id313	1.666666667	11.66666667	10	5	13.33333333	0	63.33333333	16.66666667	0
id314	0	0	0	0	0	0	0	0	0
id315	0	13.33333333	0	1.666666667	0	0	0	8.333333333	0
id316	0	0	0	0	0	0	0	6.666666667	0
id317	0	0	0	8.333333333	16.66666667	0	1.666666667	0	0
id318	5	0	0	1.666666667	0	10	0	1.666666667	0
id319	0	0	14.28571429	8.571428571	2.857142857	0	8.571428571	7.142857143	2.857142857
id32	850	1	0	0	252	0	7	17	0
id320	1434.285714	2622.857143	9597.142857	7748.571428	8528.571428	11775.71429	6077.142858	6748.571429	12521.42857
id321	594.2857143	1185.714286	3952.857143	682.8571429	2501.428572	4504.285714	1461.428571	595.7142857	602.8571428
id322	0	12.85714286	0	2.857142857	1.428571429	0	0	0	1.428571429
id323	0	0	1.428571429	11.42857143	8.571428572	721.4285714	27.14285715	4.285714286	731.4285714
id324	27.05882353	0	10.58823529	928.5294118	258.2352941	1005.882353	10.29411765	0	0
id325	0.882352941	0	0	1.764705882	11.76470588	237.9411765	0	2.058823529	0
id326	0	0	0	0.294117647	0	0	0	0.294117647	0
id327	2.352941176	0	0	0	0.588235294	0	0	0	0
id328	0	0	4.411764706	77.64705882	69.41176471	0	0.588235294	0	0
id329	3.823529412	13.52941176	0	15	7.941176471	0.588235294	4.705882353	0.882352941	393.5294118
id33	310	115	12	849	253	5	1048	198	433
id330	0	0	0	10.58823529	9.117647059	0	0.588235294	0	0
id331	14.70588235	0	0.294117647	3.823529412	7.352941176	14.11764706	0.294117647	0	0
id332	0	12.35294118	0	1.470588235	2.352941176	0	0	0	0
id333	2875.555556	3363.333333	3001.111111	3091.111111	4034.444444	1712.222222	3047.777778	1060	815.5555556
id334	0	0	3.333333333	15.55555556	10	0	1.111111111	4.444444444	0
id335	9594.444444	10608.88889	9091.111111	3794.444444	6393.333333	3603.333333	8777.777778	3414.444445	1804.444445
id336	101.1111111	0	1.111111111	15.55555556	28.88888889	4078.888889	54.44444444	4.444444444	0
id337	221.1111111	25.55555556	7.777777778	11.11111111	28.88888889	0	45.55555556	35.55555556	0
id338	103.3333333	103.3333333	31.11111111	25.55555556	10	7.777777778	115.5555556	53.33333333	90
id339	0.815217391	0	2.010869565	1.086956522	2.880434783	0.217391304	0.108695652	3.532608696	0.054347826
id34	0	0	0	0	0	0	0	0	0
id340	0	0	0	0	0	0	0	0	0
id341	0.054347826	0	0.108695652	3.858695652	0.434782608	0.108695652	0.163043478	50.4347826	0
id342	72.82608696	95.70652174	28.3152174	45	86.73913044	1.195652174	83.91304348	69.1847826	26.79347827
id343	302.7173913	72.33695652	74.83695652	432.0652174	315.9239131	72.82608695	303.5326087	628.5326087	15.65217391
id344	0.434782609	0	0.054347826	89.34782609	5.434782609	0	0	0.489130435	0.27173913
id345	0.217391304	0	0	0.326086957	0.217391304	0	1.086956522	0.054347826	0.163043478
id346	0.108695652	0	0	0.054347826	0.054347826	0	0	0	0
id347	0.054347826	0	0.652173913	0	0.054347826	0.054347826	0.163043478	9.402173913	0
id348	6.086956522	0.760869565	2.554347826	24.02173913	11.73913043	0.380434783	10.81521739	6.413043478	0.489130435
id349	0	0	0	0	0	0	0	0	0
id35	0	0	0	0	53	0	0	0	0
id350	23.15217391	7.771739131	14.56521739	25.27173913	40.2173913	35.70652174	37.55434782	32.06521739	1.304347826
id351	0	0	0	0.163043478	0.054347826	0	0.163043478	0.217391304	0
