#OTU ID	HKBea1Aug	HKBea2Aug	HKBea3Aug	HKSW1Aug	HKSW2Aug	HKSW3Aug	HKSta1Aug	HKSta2Aug	HKSta3Aug
id397	0	2.857142857	1.428571429	18.57142857	0	2.857142858	17.14285714	17.14285714	0
id398	20	11.42857143	7.142857143	11.42857143	4.285714286	0	21.42857143	12.85714286	20
id399	0	0	0	2.857142857	0	2.857142857	0	10	0
id4	0	0	0	0	0	0	0	0	0
id40	0	0	3275	0	0	0	0	1	0
id400	0	0	0	1.428571429	0	0	0	1.428571429	0
id401	355	180	176.6666667	1616.666667	1096.666667	716.6666666	1070	2781.666666	316.6666667
id402	0.552147239	0.36809816	0.18404908	0.122699387	0	0.797546012	0.36809816	0.552147239	0
id403	0	0	1.428571429	12.85714286	0	0	88.57142857	15.71428571	0
id404	0	0	5.714285714	2.857142857	0	0	67.14285714	20	7.142857143
id405	0	0	0	0	0	0	0	0	1.428571429
id406	1.428571429	22.85714286	10	1.428571429	0	0	18.57142857	8.571428572	7.142857143
id407	17.14285715	52.85714286	202.8571429	1054.285714	210	420	300	1277.142857	117.1428571
id41	0	0	0	0	0	0	0	0	0
id42	189	366	31	112	68	45	19	1001	25
id43	31	0	0	3	7	143	2625	21	65
id44	0	0	0	0	0	0	0	0	0
id45	0	0	0	0	0	0	0	0	0
id46	77	53	2178	2	2	58	3321	870	101
id47	0	0	0	0	0	0	0	0	0
id48	0	0	0	8	0	0	0	0	0
id49	0	0	0	1	0	0	0	0	0
id5	1	3	1	0	0	0	1	0	116
id50	0	72	1119	1	0	15	2	0	0
id51	0	3	234	3218	1813	32	0	1	0
id52	4	0	0	7	37	14	6	1	848
id53	0	33	0	0	0	0	0	0	0
id54	0	0	0	600	9	10	0	0	0
id55	0	0	0	6	1084	15	0	0	0
id56	0	0	0	2	0	4	0	0	12
id57	20	0	0	0	0	0	16	1715	136
id58	0	53	0	0	0	0	0	0	0
id59	1147	0	0	286	1	5	3	4	7
id6	13561	8858	14443	561	212	38	3084	2171	1241
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	0	0	0	0	0	0	0	0	0
id63	0	0	0	0	0	0	0	0	0
id64	0	1	0	0	0	0	0	0	0
id65	2	0	0	2225	1515	1407	12	320	11
id66	0	0	0	20	47	69	2	2	19
id67	0	22	0	2	5	731	5	0	0
id68	4	0	91	0	125	0	1	183	4
id69	0	0	0	0	0	0	0	0	0
id7	0	1	0	1	2	25	52	8	0
id70	0	64	0	421	2427	1077	22	21	0
id71	0	0	0	0	0	0	0	0	0
id72	1	3	0	55	1	0	0	0	3
id73	34	3	0	1407	4324	483	50	1803	133
id74	0	0	0	0	0	0	0	0	0
id75	36	987	0	1332	2246	2929	48	36	53
id76	39	0	0	215	31	131	122	2996	903
id77	960	0	0	0	0	1	10	3	11
id78	9	2993	0	0	0	0	0	0	0
id79	0	0	0	0	0	0	0	0	0
id8	0	4	0	0	0	0	0	0	0
id80	0	0	0	0	0	0	0	0	0
id81	0	0	0	179	12	23	0	0	14
id82	16	0	0	1	0	0	12	21	25
id83	0	0	0	0	0	0	0	0	0
id84	0	0	0	1	527	2	0	0	0
id85	18	0	0	0	0	29	1490	11	31
id86	0	0	0	0	0	0	0	0	0
id87	1322	0	0	0	0	0	6	6	10
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	1	0	1	0	7	0	3	0	13
id90	10	0	0	53	40	54	64	7	29
id91	0	0	0	0	0	0	0	0	105
id92	0	0	0	4	2	5	0	0	0
id93	0	0	0	0	0	0	0	0	0
id94	0	0	0	617	15	30	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	176	250	9	151	160	17	18	7	53
id97	0	40	0	338	21	405	2	0	0
id98	11	0	0	0	0	0	0	0	0
id99	355	47	174	439	7191	3689	44	111	36
