#OTU ID	SKBlu1Nov	SKBlu2Nov	SKBlu3Nov	SKLKW1Nov	SKLKW2Nov	SKLKW3Nov	SKSha1Nov	SKSha2Nov	SKSha3Nov
id34	0	0	0	0	0	0	0	0	0
id340	0	0	0.054347826	0	0	0	0	0	1.684782609
id341	1.086956522	1.195652174	0.489130434	0.97826087	0.652173913	0.054347826	1.195652174	1.358695652	0.054347826
id342	91.63043479	57.71739131	58.26086957	57.17391304	34.40217391	23.9673913	22.22826087	16.4673913	29.61956522
id343	336.0326087	466.5217391	412.8260869	385.7608696	391.25	204.5108695	91.95652174	117.4456522	183.5869565
id344	7.880434783	18.80434783	25.48913043	23.04347826	16.63043478	8.369565217	0.869565217	0.543478261	0
id345	0	0	0.326086957	0.326086957	0	0	0	0	0
id346	7.065217391	5.326086957	6.032608696	3.152173913	1.684782609	0.434782609	0	0	0
id347	0.108695652	0	0	0	0	0	0.760869565	1.358695652	0
id348	8.532608696	6.195652174	5.869565217	12.11956522	10.54347826	9.72826087	5.27173913	11.08695652	18.85869565
id349	0	0	0	0	0	0	0	0	0
id35	36	0	0	1	0	1	0	0	0
id350	50.97826087	57.5	43.47826087	46.57608696	41.19565217	25.81521739	27.66304348	39.23913043	71.08695652
id351	0	0.054347826	0.434782609	0.108695652	0	0.054347826	0	0	0
id352	7.880434783	7.608695652	8.043478261	5.760869565	6.684782609	2.717391304	5.434782609	5.27173913	6.25
id353	0.054347826	0.217391304	0.054347826	0	0.489130435	0.108695652	0.380434783	0.380434783	0
id354	1.793478261	4.130434783	3.804347826	1.467391304	12.66304348	6.304347826	1.086956522	13.31521739	3.097826087
id355	85.48913043	77.55434783	101.3043478	36.30434783	25.27173913	20.97826087	22.88043478	16.0326087	24.23913043
id356	0.97826087	1.902173913	1.52173913	0.217391304	0.163043478	0.489130435	0.597826087	0	0.054347826
id357	58.58695652	69.89130435	79.07608696	23.26086957	19.07608696	16.35869565	25	47.33695652	10.54347826
id358	0.543478261	0.543478261	1.413043478	1.413043478	0.652173913	0.326086957	0	0	0
id359	34.72826087	37.11956522	30.92391305	26.52173913	16.08695652	16.57608695	5.597826086	12.2826087	16.30434783
id36	53	15	0	25	3891	14	0	0	0
id360	45.27173913	56.52173913	50.5978261	32.55434782	23.09782609	19.89130435	108.423913	99.23913043	250.0543478
id361	0.054347826	0.434782609	0.054347826	0.054347826	0.054347826	0	0.163043478	0	0.054347826
id362	0.380434783	0.97826087	1.032608696	0.326086957	0.108695652	0.326086957	0.108695652	0.652173913	0
id363	52.82608695	67.7173913	67.06521739	42.39130435	41.35869565	24.89130434	75	49.13043478	80.38043478
id364	1.684782609	1.630434783	1.358695652	0.869565217	0.27173913	0.597826087	0.760869565	0.108695652	0.380434783
id365	2.445652174	1.086956521	2.445652173	1.576086956	0.489130435	1.52173913	0	0	0
id366	2.989130435	0.434782609	1.576086957	2.445652174	0.543478261	0.597826087	0.054347826	0	0.054347826
id367	16.0326087	20.97826087	28.58695652	15.10869565	9.29347826	9.619565218	15.2173913	12.66304348	17.01086957
id368	0.489130435	1.032608696	1.141304348	0.760869565	1.358695652	0.054347826	12.11956522	10.59782609	22.5
id369	0	0	0	0	0	0	0	0	0
id37	3	0	29	124	23	105	5	406	30
id370	20.16304348	24.29347826	10.92391304	11.95652174	12.82608696	6.032608695	15.76086956	3.586956521	12.44565217
id371	0.869565217	1.467391304	2.880434783	0.869565217	1.684782609	0.380434783	0.543478261	0.217391304	0
id372	0.163043478	0.108695652	0	0.108695652	0	0.054347826	0.815217391	0	2.065217391
id373	0.217391304	0	0.163043478	0.326086957	0.380434783	0	0.054347826	0.326086957	0
id374	0.054347826	0.163043478	0	0.217391304	0.163043478	0.27173913	0.054347826	0	1.032608696
id375	1.304347825	2.228260869	1.467391304	2.010869565	0.597826087	1.032608695	2.5	2.608695652	23.58695652
id376	0.978260869	1.630434783	1.902173913	0.380434782	0.923913044	0.815217391	0.815217391	0.326086957	0.054347826
id377	0	0.108695652	0	0	0	0	0.217391304	0.217391304	0.163043478
id378	189.5108696	173.9130435	118.9673913	99.07608696	125.7608696	66.41304348	104.1847826	130.6521739	89.72826087
id379	3.2	5.6	4.8	1.6	3.2	4.8	4.8	17.2	9.6
id38	29559	17308	13954	778	2311	20085	7	13	28367
id380	4.4	23.2	2.4	6	29.2	1.6	0	0	0
id381	2	6.4	4	2.8	1.2	4	6	5.6	0
id382	2.8	4.8	7.2	9.6	6	7.6	1.2	2.4	0.8
id383	0	0.4	0	0.4	0	0	0	0	0
id384	8.4	7.6	7.6	10	3.2	7.2	4	9.2	0.8
id385	31.2	49.6	70.8	50.4	38.8	69.6	46	59.2	62.8
id386	0	0.4	0.4	0.8	0	0	0	0	0
id387	0	0	0	0	0	0	0	0	0
id388	0	0.4	0	0	0	0	0.4	0	0
id389	12.4	13.6	9.2	20.8	20.4	33.2	6.8	1.6	2
id39	0	0	0	0	0	0	0	0	0
id390	0	0	0	0	0	0	0	0	0
id391	152.4	219.2	256.8	392.4	277.6	379.2	716	836	502.4
id392	28.8	62.4	61.2	65.6	67.6	66	45.6	37.2	25.2
id393	5.714285714	44.28571429	11.42857143	47.14285714	22.85714286	37.14285714	22.85714286	8.571428571	31.42857143
id394	117.1428571	194.2857143	150	98.57142857	70	62.85714286	624.2857143	490	568.5714286
id395	338.5714286	628.5714286	715.7142857	338.5714286	458.5714287	357.1428572	1225.714286	1015.714286	920
id396	0	11.42857143	5.714285714	14.28571429	27.14285714	1.428571429	18.57142857	1.428571429	0
id397	20	20	15.71428572	4.285714287	14.28571429	7.142857143	210	90	191.4285714
id398	88.57142857	10	17.14285714	22.85714286	37.14285714	34.28571429	147.1428571	110	28.57142857
id399	4.285714286	37.14285714	4.285714286	7.142857143	14.28571429	0	4.285714286	1.428571429	0
id4	2902	2	1	26	13	4	0	1	86
id40	0	0	0	0	0	0	0	0	0
id400	24.28571429	5.714285714	72.85714286	5.714285714	4.285714286	1.428571429	61.42857143	134.2857143	1.428571429
id401	386.6666667	366.6666667	436.6666666	261.6666666	205	186.6666667	43.33333333	161.6666667	120
id402	0	0	0	0	0	0	0	0	0
id403	42.85714286	38.57142857	48.57142857	4.285714286	10	2.857142857	0	0	0
id404	0	0	0	0	0	0	0	0	0
id405	0	0	0	0	0	0	0	0	0
id406	478.5714286	578.5714286	44.28571429	51.42857143	8.571428572	10	18.57142857	47.14285714	117.1428572
id407	254.2857143	282.8571429	171.4285714	151.4285714	309.9999999	174.2857143	88.57142857	51.42857143	184.2857143
id41	0	0	0	0	0	0	1	0	0
id42	909	453	49	81	230	3405	0	0	7110
id43	0	0	0	0	0	0	0	0	0
id44	0	0	0	19	4	2	0	0	0
id45	0	0	0	0	0	0	0	0	0
id46	24	1	0	0	0	0	0	0	0
id47	0	0	0	133	7789	31	0	0	0
id48	0	0	0	0	0	0	0	0	0
id49	0	0	0	70	45	4823	0	0	0
id5	0	0	45	23	4	16	1	0	1
id50	1	0	0	68	44	2703	0	0	0
id51	0	23	0	25	5561	2	4	0	0
id52	353	409	10126	0	21	0	0	0	57
id53	0	0	0	0	0	0	0	0	1
id54	0	0	0	45066	67	27	7	0	0
id55	0	0	0	0	0	0	0	0	0
id56	0	0	0	112	4269	35	0	0	0
id57	0	0	0	0	0	0	0	0	0
id58	51	0	0	0	0	0	0	0	0
id59	0	0	0	0	0	11	0	0	0
id6	5876	5301	14154	1756	2045	1043	15175	13402	13218
id60	0	0	0	0	0	0	0	0	0
id61	0	0	0	0	0	0	0	0	0
id62	0	0	0	0	5	0	0	0	0
id63	0	0	0	0	0	0	0	0	0
id64	205	168	7279	0	0	0	0	0	31
id65	0	3	1	0	0	0	0	0	0
id66	0	0	0	0	0	0	0	0	0
id67	1	1	0	0	0	0	0	0	0
id68	0	0	0	130	219	2	0	0	0
id69	0	0	0	0	0	0	11	12909	0
id7	0	1	0	0	0	0	0	0	0
id70	45	0	0	0	0	0	0	0	0
id71	0	0	0	0	0	0	0	0	0
id72	84	0	0	0	0	0	0	0	0
id73	1	0	0	0	0	8	0	0	2
id74	0	0	0	0	0	0	0	0	0
id75	6475	10606	76	357	857	10596	9709	67	263
id76	0	0	0	32	1872	16	0	0	0
id77	147	142	4142	0	0	0	0	0	33
id78	4146	994	73	166	18	0	15	5	8563
id79	0	0	0	0	0	0	0	0	0
id8	0	0	0	0	0	0	0	0	0
id80	0	0	0	0	0	0	0	0	0
id81	0	0	0	0	0	3	0	0	0
id82	0	0	0	0	0	0	0	0	0
id83	228	198	8512	0	0	0	0	0	44
id84	0	0	0	0	0	0	0	0	20
id85	0	0	0	0	0	0	0	0	0
id86	0	0	0	0	0	0	0	0	0
id87	0	0	0	0	0	0	0	0	0
id88	0	0	0	0	0	0	0	0	0
id89	0	0	0	0	0	0	0	0	0
id9	10	8	16	9	6	8	0	0	3
id90	0	0	0	0	0	0	0	0	0
id91	0	0	0	0	0	0	0	0	0
id92	0	0	0	0	0	0	0	0	0
id93	0	0	0	0	15	0	0	0	0
id94	0	0	0	0	0	0	0	0	0
id95	0	0	0	0	0	0	0	0	0
id96	2	27	0	1	5	0	0	0	0
id97	0	56	0	0	7	0	0	0	0
id98	0	0	0	0	0	0	0	0	0
