#OTU ID	LTCC1Aug	LTCC2Aug	LTCC3Aug	LTCMW1Aug	LTCMW2Aug	LTCMW3Aug	LTPC1Aug	LTPC2Aug	LTPC3Aug
id195	3	1	0	0	5	4.5	3.5	2	5.5
id196	2180.34188	1639.316239	1854.700855	1249.57265	1389.74359	1680.34188	1765.811966	1596.581197	1320.51282
id197	0	0	0	0	0	0	0.9375	2.1875	0.9375
id198	0	36.25	36.5625	0	3.125	0.3125	6.875	0	0
id199	11.6	22.2	16.6	13	13.8	19.8	17	16.8	9.8
id2	7	1	6	15	20	8	737	117	7
id20	4	0	0	0	2	6	32	43	58
id200	0	1.818181818	2.272727273	0	1.590909091	1.818181818	2.5	5.909090909	0
id201	30.625	19.6875	24.0625	26.875	27.8125	24.375	26.25	53.75	45.9375
id202	189.6875	255	301.875	200	245.9375	281.25	358.125	299.6875	337.5
id203	118.125	145.3125	160.9375	52.8125	119.0625	125.625	290	306.875	327.1875
id204	0	0	0	0	0	0	0	0	0
id205	18.13285458	4.667863555	15.7989228	37.52244165	14.72172352	37.52244166	17.41472173	19.92818672	26.75044883
id206	234.0625	141.25	196.875	281.5625	214.375	379.0625	143.75	135.9375	154.6875
id207	6.837606838	4.273504274	6.837606838	2.564102564	11.96581197	2.564102564	19.65811966	5.128205128	6.837606838
id208	589.568376	281.0683761	372.8290598	371.974359	359.4273504	418.8034189	468.7008548	346.3675214	324.7863247
id209	47.83451842	17.48545572	27.72750126	38.86734181	27.72750126	26.03246427	10.24204554	45.2273217	86.059039
id21	286	104	366	93	366	247	939	259	39
id210	54	30	26.66666667	30.66666667	31.66666667	53.33333334	19.33333333	15.33333333	33
id211	80	25	28	42	35	35	39	62	0
id212	0	0	0	0	0	0	0	0	0
id213	94.19047619	62.19047619	63.9047619	87.14285714	74	75.23809524	24.85714286	54.38095238	13.33333333
id214	18.57142857	13.33333333	13.80952381	23.33333333	9.047619048	15.23809524	7.619047619	0	5.714285714
id215	11	25	1	0	3	0	32	32	4
id216	66	61	23	0	47	43	104	127	140
id217	223.2432432	130.8523908	246.3825364	139.4594595	83.24324324	42.16216216	124.9272349	167.5675676	127.027027
id218	171.4975845	519.8067633	577.294686	220.2898551	396.6183575	119.3236715	198.5507246	227.0531401	318.3574879
id219	0	0	0	0	0	0	0	1.538461538	0
id22	8	0	2	0	50	0	1	3	0
id220	1	0	0	0	0	0	2	7	0
id221	10.47619048	2.380952381	6.19047619	8.571428571	8.571428571	6.666666667	2.857142857	0.476190476	0
id222	0	0.952380952	0	0.476190476	0.476190476	0	1.428571429	0	0
id223	100.4115226	56.79012345	25.92592592	46.91358024	83.95061728	0	0	0	0
id224	1.016518424	0	0	0	0	0.635324015	0	0	0
id225	0	0	0	0	0.961538462	0	0	0.576923077	0
id226	13.33333333	11.66666667	14.44444444	10	10.55555556	12.77777778	16.66666667	18.88888889	53.33333334
id227	9	11	2	0	5	3	37	24	68
id228	6.944444444	2.777777778	0	5.555555556	6.944444444	10.18518519	4.166666667	0	0
id229	0	0.925925926	3.240740741	0	3.240740741	0	0	0	0
id23	0	0	0	0	0	0	0	0	0
id230	0	0	0	0	0	0	0	0	0
id231	2	8	0	4	8	10	11	0	0
id232	590.4761905	313.8095239	118.0952381	262.8571429	356.1904762	0	0	0	0
id233	210.6745861	121.2400905	100.537645	104.5129526	109.4743182	103.8275095	105.7590041	98.22820516	106.4124908
id234	79.74683544	43.03797468	30.37974684	44.30379747	37.97468355	48.10126582	31.01265823	20.25316456	6.962025316
id235	73	37	21	90	53	89	24	33	4
id236	5.084745763	5.93220339	5.084745763	4.661016949	3.813559322	7.203389831	10.59322034	17.37288136	10.59322034
id237	73	31	40	45	35	57	46	111	53
id238	25	7.575757576	9.848484848	6.060606061	11.36363636	18.18181818	16.66666667	60.60606061	2.272727273
id239	0	8.108108108	0	12.61261261	0	0	0	0	0
